singular;plural;gender;english singular;english plural;level;lesson;tags
Eis;;n;ice cream;;a1.1;9;
Fisch;Fische;m;fish;fish;a1.1;9;
Fleisch;;n;meat;;a1.1;9;
Käse;;m;cheese;;a1.1;9;
Kartoffel;Kartoffeln;f;potato;potatoes;a1.1;9;
Kuchen;Kuchen;m;cake;cakes;a1.1;9;
Milch;;f;milk;;a1.1;9;
Obst;;n;fruit;;a1.1;9;
Orange;Orangen;f;orange;oranges;a1.1;9;
Reis;;m;rice;;a1.1;9;
Sahne;;f;cream;;a1.1;9;
Salat;Salate;m;salad;salads;a1.1;9;
Schinken;;m;ham;;a1.1;9;
Schokolade;Schokoladen;f;chocolate;chocolates;a1.1;9;
Suppe;Suppen ;f;soup;soups;a1.1;9;
Tee;Tees;m;tea;teas;a1.1;9;
Tomate;Tomaten;f;tomato;tomatoes;a1.1;9;
Wurst;Würste;f;sausage;sausages;a1.1;9;
Zitrone;Zitronen;f;lemon;lemons;a1.1;9;
Zwiebel;Zwiebeln;f;onion;onions;a1.1;9;
Durst;;m;thirst;;a1.1;9;
Frühstuck;Frühstucke;n;breakfast;breakfast;a1.1;9;
Hunger;;m;hunger;;a1.1;9;
Kühlschrank;Kühlschränke;m;fridge;fridges;a1.1;9;
Bahnhof;Bahnhöfe;m;train station;train stations;a1.1;10;
Bahnsteig;Bahnsteige;m;platform;platform;a1.1;10;
Bus;Busse;m;bus;busses;a1.1;10;
Halt;Halte;m;stop;stops;a1.1;10;
Haltestelle;Haltestellen;f;stop;stop;a1.1;10;
Flughafen;Flughäfen;m;airport;airports;a1.1;10;
Flugzeug;Flugzeuge;n;plane;planes;a1.1;10;
Gepäck;;n;luggage;;a1.1;10;
Gleis;Gleise;n;track;tracks;a1.1;10;
Koffer;Koffer;m;suitcase;suitcases;a1.1;10;
S-Bahn;S-Bahnen;f;s-bahn;s-bahns;a1.1;10;
Straßenbahn;Straßenbahnen;f;tram;trams;a1.1;10;
Taxi;Taxis;n;taxi;taxis;a1.1;10;
U-Bahn;U-Bahnen;f;u-bahn;u-bahns;a1.1;10;
Verkehrsmittel;Verkehrsmittel;n;transport;transport;a1.1;10;
Zug;Züge;m;train;trains;a1.1;10;
Minute;Minuten;f;minute;minutes;a1.1;10;
Vorsicht;;f;attention;attention;a1.1;10;
Arbeit;Arbeiten;f;work;work;a1.1;11;
Hausaufgabe;Hausaufgaben;f;homework;homework;a1.1;11;
Pause;Pausen;f;break;breaks;a1.1;11;
Zeitung;Zeitungen;f;newspaper;newspaper;a1.1;11;
Baby;Babys;n;baby;babies;a1.1;11;
Fahrrad;Fahrräder;n;bike;bikes;a1.1;11;
Geschenk;Geschenke;n;gift;gifts;a1.1;11;
Monat;Monate;m;month;months;a1.1;11;
Paar;Paare;n;couple;couples;a1.1;11;
Party;Partys;f;party;parties;a1.1;11;
Reise;Reisen;f;trip;trips;a1.1;11;
Sport;;m;sports;;a1.1;11;
Wein;Weine;m;wine;wines;a1.1;11;
Frühling;Frühlinge;m;spring;springs;a1.1;12;
Sommer;Sommer;m;summer;summer;a1.1;12;
Herbst;Herbste;m;fall;falls;a1.1;12;
Winter;Winter;m;winter;winters;a1.1;12;
Januar;Januare;m;January;Januaries;a1.1;12;
Februar;Februare;m;February;Februaries;a1.1;12;
März;Märze;m;March;Marches;a1.1;12;
April;Aprile;m;April;Aprils;a1.1;12;
Mai;Maie;m;May;Mays;a1.1;12;
Juni;Junis;m;June;Junes;a1.1;12;
Juli;Julis;m;July;Julys;a1.1;12;
August;Auguste;m;August;Augusts;a1.1;12;
September;September;m;September;Septembers;a1.1;12;
Oktober;Oktober;m;October;Octobers;a1.1;12;
November;November;m;November;Novembers;a1.1;12;
Fest;Feste;n;party;parties;a1.1;12;
Hochzeit;Hochzeiten;f;wedding;weddings;a1.1;12;
Karneval;;m;carnival;;a1.1;12;
Neujahr;Neujahre;f;New Year’s;New Years’;a1.1;12;
Silvester;Silvester;n;New Year’s Eve;New Year’s Eves;a1.1;12;
Bier;Biere;n;beer;beer;a1.1;12;
Person;Personen;f;person;people;a1.1;12;
Ampel;Ampeln;die;traffic light;traffic lights;a1.2;13;
Bank;Banken;die;bank;banks;a1.2;13;
Brücke;Brücken;die;bridge;bridges;a1.2;13;
Dom;Dome;der;dome;domes;a1.2;13;
Hotel;Hotels;das;hotel;hotels;a1.2;13;
Mitte;Mitten;die;downtown;downtowns;a1.2;13;
Plan;Pläner;der;map;maps;a1.2;13;
Polizei;;der;police;;a1.2;13;
Post;;die;postoffice;;a1.2;13;
Zentrum;;das;downtown;downtown;a1.2;13;
Haus;Häuser;n;house;houses;a1.2;14;
Wohnung;Wohnungen;f;apartment;apartments;a1.2;14;
Balkon;Balkone;m;balcony;balconies;a1.2;14;
Baum;Bäume;m;tree;trees;a1.2;14;
Blume;Blumen;f;flower;flowers;a1.2;14;
Erdgeschoss;Erdgeschosse;n;ground floor;ground floors;a1.2;14;
Fenster;Fenster;n;window;windows;a1.2;14;
Garage;Garagen;f;garage ;garages;a1.2;14;
Garten;Gärten;m;garden;gardens;a1.2;14;
Keller;Keller;m;cellar;cellar;a1.2;14;
Licht;Lichter;n;light;lights;a1.2;14;
Miete;Mieten;f;rent;rent;a1.2;14;
Müll;;m;garbage;garbage;a1.2;14;
Nachbar;Nachbarn;m;neighbour;neighbours;a1.2;14;
Quadratmeter;;m;square meters;;a1.2;14;
Stock;Stockwerke;m;floor;floors;a1.2;14;
Treppe;Treppen;f;stairs;stairs;a1.2;14;
Vermieter;Vermieter;m;landlord;landlord;a1.2;14;
Wasser;;n;water;;a1.2;14;
Flur;Flure;m;hall;halls;a1.2;14;
Kinderzimmer;;n;nursery;;a1.2;14;
Küche;Küchen;f;kitchen;kitchens;a1.2;14;
Schlafzimmer;Schlafzimmer;n;bedroom;bedrooms;a1.2;14;
Toilette;Toiletten;f;bathroom;bathrooms;a1.2;14;
Wohnzimmer;Wohnzimmer;n;living room;living rooms;a1.2;14;
Zimmer;Zimmer;n;room;rooms;a1.2;14;
Berg;berge;m;mountain;mountains;a1.2;14;
Fluss;Flüsse;m;river;rivers;a1.2;14;
Meer;Meere;n;sea;seas;a1.2;14;
Wald;Wälder;m;forest;forests;a1.2;14;
Anzeige;Anzeigen;f;display ;displays;a1.2;14;
Fabrik;Fabriken;f;factory;factories;a1.2;14;
Stadt;Städte;f;city;cities;a1.2;14;
Zelt;Zelte;n;tent;tents;a1.2;14;
Arbeitszimmer;Arbeitszimmer;n;workroom;workroom;a1.2;14;
Bad;Bäder;n;bath;baths;a1.2;14;
Kilometer;Kilometer;der;kilometer;kilometer;a1.2;14;
Meter;Meter;der;meters;meters;a1.2;14;
Weg;Wege;der;way;ways;a1.2;14;
Frage;Fragen;die;question;questions;a1.2;14;
Moment;Momente;der;moment;moments;a1.2;14;
Bibliothek;Bibliotheken;die;library;libraries;a1.2;15;
Jugendherberge;Jugendhebergen;die;youth hostel;youth hostels;a1.2;15;
Kirche;Kirchen;die;church;churches;a1.2;15;
Laden;Läden;der;shop;shops;a1.2;15;
Kindergarten;Kindergärten;der;kindergarten;kindergarten;a1.2;15;
Markt;Märkte;der;market;market;a1.2;15;
Spielplatz;Spielplätz;der;playground;playgrounds;a1.2;15;
Hafen;Häfen;der;port;ports;a1.2;15;
Park;Parks;der;park;park;a1.2;15;
Turm;Turme;der;tower;tower;a1.2;15;
Auslander;;der;foreigner;;a1.2;15;
Blick;Blicke;der;view;views;a1.2;15;
Mensch;Menschen;der;person;people;a1.2;15;
Rathaus;Rathäuser;das;city hall;city halls;a1.2;15;
Schloss;Schlösser;das;castle;castle;a1.2;15;
Geschaft;Geschafte;das;business;businesses;a1.2;15;
Reisebüro;Reisebüros;das;travel agency;travel agency;a1.2;15;
Wetter;;das;weather;;a1.2;15;
Rezept;Rezepte;das;recipe;recipes;a1.2;15;
Dusch;Duschen;die;shower;showers;a1.2;16;
Heizung;Heizungen;die;heater;heaters;a1.2;16;
Verbindung;Verbindungen;die;connection;connections;a1.2;16;
Lust;;die;desire;;a1.2;16;
Angst;Ängste;die;anxiety;anxieties;a1.2;16;
Sitzung;Sitzungen;die;meeting;meetings;a1.2;16;
Aufzug;Aufzüge;der;elevator;elevators;a1.2;16;
Fernseher;;der;TV;;a1.2;16;
Föhn;Föhne;der;hairdryer;hairdryers;a1.2;16;
Gast;Gäste;der;guest;guests;a1.2;16;
Kurs;Kurse;der;course;courses;a1.2;16;
Handtuch;Handtücher;das;towel;towels;a1.2;16;
Leben;;das;life;;a1.2;16;
Politiker;Politiker;der;politician;politicians;a1.2;17;
Sanger;;der;singer;;a1.2;17;
Star;Stars;der;star;stars;a1.2;17;
Führerschein;Führerscheine;der;driving license;driving licenses;a1.2;17;
Ausland;;das;foreign land;;a1.2;17;
Geld;;das;money;;a1.2;17;
Instrument;Instrumente;das;instrument;instruments;a1.2;17;
Motorrad;Motorräder;das;motorcycle;motorcycles;a1.2;17;
Chance;Chancen;die;opportunity;opportunities;a1.2;17;
Fremdsprache;Fremdsprachen;die;foreign language;foreign languages;a1.2;17;
Prüfug;Prügungen;die;exam;exams;a1.2;17;
Sangern;Sangerinnen;die;singer;singers;a1.2;17;
Kreditkarte;Kreditkarten;die;credit card;credit cards;a1.2;17;
Welt;;die;world;;a1.2;17;
Apotheke;Apotheken;die;pharmacy;pharmacies;a1.2;18;
Medizin;;die;medicine;;a1.2;18;
Praxis;Praxen;die;practice;practices;a1.2;18;
Salbe;Salben;die;ointment;ointments;a1.2;18;
Tablette;Tabletten;die;tablet;tablet;a1.2;18;
Brust;Brüste;die;chest;chests;a1.2;18;
Hand;Hände;die;hand;hands;a1.2;18;
Nase;Nasen;die;nose;noses;a1.2;18;
Doktor;Doktoren;der;doctor;doctors;a1.2;18;
Husten;;der;cough;;a1.2;18;
Schmerz;Schmerzen;der;pain;pains;a1.2;18;
Arm;Arme;der;arm;arms;a1.2;18;
Bauch;Bäuche;der;belly;bellies;a1.2;18;
Finger;Finger;der;finger;finger;a1.2;18;
Fuß;Fuße;der;foot;feet;a1.2;18;
Hals;Hälse;der;neck;necks;a1.2;18;
Kopf;Köpfe;der;head;heads;a1.2;18;
Mund;Münde;der;mouth;mouths;a1.2;18;
Rücken;Rücken;der;back;backs;a1.2;18;
Zahn;Zähne;der;tooth;teeth;a1.2;18;
Fieber;;das;fever;;a1.2;18;
Pflaster;Pflaster;das;bandaid;bandaids;a1.2;18;
Auge;Augen;das;eye;eyes;a1.2;18;
Bein;Beines;das;leg;legs;a1.2;18;
Knie;Knie;das;knee;knee;a1.2;18;
Ohr;Ohren;das;ear;ears;a1.2;18;
Kleidung;;die;clothes;;a1.2;22;
Bluse;Blusen;die;blouse;blouses;a1.2;22;
Jacke;Jacken;die;jacket;jackets;a1.2;22;
Gürtel;Gürtel;der;belt;belts;a1.2;22;
Hemd;Hemden;das;shirt;shirts;a1.2;22;
Hose;Hosen;die;pants;pants;a1.2;22;
Hut;Hüte;der;hat;hats;a1.2;22;
Kleid;Kleider;das;dress;dresses;a1.2;22;
Mantel;Mäntel;der;coat;coats;a1.2;22;
Mütze;Mützen;die;cap;caps;a1.2;22;
Pullover;Pullover;der;sweater;sweaters;a1.2;22;
Rock;Röcke;der;skirt;skirts;a1.2;22;
Schuh;Schuhe;der;shoe;shoes;a1.2;22;
Socke;Socken;die;sock;socks;a1.2;22;
Strumpf;Strümpfe;der;tights;tights;a1.2;22;
Strumpfhose;Strumpfhosen;die;tights;tights;a1.2;22;
T-Shirt;T-Shirts;das;t-shirt;t-shirt;a1.2;22;
Text;Texte;der;text;texts;a1.2;22;
Gewitter;Gewitter;das;thunderstorm;thunderstorm;a1.2;23;
Grad;Grade;das;degree;degrees;a1.2;23;
Nebel;;der;fog;;a1.2;23;
Regen;;der;rain;;a1.2;23;
Schnee;;der;snow;;a1.2;23;
Sonne;Sonnen;die;sun;suns;a1.2;23;
Sturm;Stürme;der;storm;storms;a1.2;23;
Wind;Winde;der;wind;winds;a1.2;23;
Wolke;Wolken;die;cloud;clouds;a1.2;23;
Himmelsrichtung;Himmelsrichtungen;die;cardinal point;cardinal points;a1.2;23;
Norden;;der;north;;a1.2;23;
Süden;;der;south;;a1.2;23;
Osten;;der;east;;a1.2;23;
Westen;;der;west;;a1.2;23;
Dach;Dächer;das;roof;roofs;a1.2;23;
Frühjahr;Frühjahre;das;spring;springs;a1.2;23;
Glas;Gläser;das;glass;glasses;a1.2;23;
Glück;;das;happiness;;a1.2;23;
Himmel;;der;sky;;a1.2;23;
Laune;Launen;die;mood;moods;a1.2;23;
Reiseführer;Reiseführer;der;travel guide;travel guides;a1.2;23;
Traum;Träume;der;dream;dreams;a1.2;23;
Cousin;Cousins;m;cousin;cousins;a2.1;1;
Cousine;Cousinen;f;cousin;cousins;a2.1;1;
Neffe;Neffen;m;nephew;nephews;a2.1;1;
Nichte;Nichten;f;neice;neices;a2.1;1;
Onkel;Onkel;m;uncle;uncles;a2.1;1;
Tante;Tanten;f;aunt;aunts;a2.1;1;
Geschichte;Geschichten;f;story;stories;a2.1;1;
Jugendliche;Jugendlichen;m;youth;youths;a2.1;1;
Puppe;Puppen;f;doll;dolls;a2.1;1;
Sache;Sachen;f;stuff;stuff;a2.1;1;
Spiel;Spiele;n;game;games;a2.1;1;
Anfang;Anfänge;m;beginning;beginnings;a2.1;1;
Ende;Enden;n;end;ends;a2.1;1;
Mannschaft;Mannschaften;f;team;teams;a2.1;1;
Pfeffer;;m;pepper;;a2.1;1;
Punkt;Punkte;m;point;points;a2.1;1;
Satz;Sätze;m;sentence;sentences;a2.1;1;
Schluss;Schlüsse;m;ending;endings;a2.1;1;
Studium;;n;education;;a2.1;1;
Zigarette;Zigaretten;f;cigarette;cigarettes;a2.1;1;
Ding;Dinge;n;thing;things;a2.1;2;
Ecke;Ecken;f;corner;corners;a2.1;2;
Fernsehgerät;Fernsehgeräte;n;tv;tvs;a2.1;2;
Gegenstand;Gegenstände;m;object;objects;a2.1;2;
Herd;Herde;m;stove;stoves;a2.1;2;
Kissen;Kissen;n;pillow;pillows;a2.1;2;
Raum;Räume;m;room;rooms;a2.1;2;
Regal;Regale;n;shelf;shelves;a2.1;2;
Schreibtisch;Schreibtische;m;writing desk;writing desks;a2.1;2;
Spiegel;Spiegel;m;mirror;mirrors;a2.1;2;
Tür;Türen;f;door;doors;a2.1;2;
Vorhang;Vorhänge;m;curtain;curtains;a2.1;2;
Wand;Wände;f;wall;walls;a2.1;2;
Werkzeug;Werkzeuge;n;tool;tools;a2.1;2;
Heft;Hefte;n;notebook;notebooks;a2.1;2;
Souvenir;Souvenirs;n;souvenir;souvenir;a2.1;2;
Dorf;Dörfer;das;village;villages;a2.1;3;
Katze;Katzen;die;cat;cats;a2.1;3;
Pflanze;Pflanzen;die;plant;plants;a2.1;3;
Landschaft;Landschaften;die;landscape;landscapes;a2.1;3;
Luft;Luft;die;air;air;a2.1;3;
Ruhe;Ruhe;die;peace;peace;a2.1;3;
Strand;Strände;der;beach;beaches;a2.1;3;
Tier;Tiere;das;animal;animals;a2.1;3;
Ufer;Ufer;das;coast;coasts;a2.1;3;
Vogel;Vögel;der;bird;birds;a2.1;3;
Beratung;Beratungen;die;advice;advices;a2.1;3;
Erfahrung;Erfahrung;die;experience;experiences;a2.1;3;
Fahrt;Fahrten;die;drive;drives;a2.1;3;
Gruppe;Gruppen;die;group;groups;a2.1;3;
Karte;Karten;die;map;maps;a2.1;3;
Service;Services;der;service;services;a2.1;3;
Trend;Trends;der;trend;trends;a2.1;3;
Unterricht;Unterricht;der;class;classes;a2.1;3;
Mode;Moden;die;style;styles;a2.1;3;
Banane;Bananen;die;banana;bananas;a2.1;4;
Birne;Birnen;die;pear;pears;a2.1;4;
Bohne;Bohnen;die;bean;beans;a2.1;4;
Bonbon;Bonbons;der;candy;candies;a2.1;4;
Cola;Cola;die;cola;cola;a2.1;4;
Gemüse;Gemüse;das;vegetable;vegetables;a2.1;4;
Getränk;Getränke;das;drink;drinks;a2.1;4;
Marmelade;Marmeladen;die;marmelade;marmelade;a2.1;4;
Mehl;Mehl;das;flour;flour;a2.1;4;
Quark;Quark;der;cheese;cheese;a2.1;4;
Saft;Säfte;der;juice;juices;a2.1;4;
Dose;Dosen;die;can;cans;a2.1;4;
Gramm;Gramme;das;gram;grams;a2.1;4;
Kilogramm;Kilogramms;das;kilogram;kilogram;a2.1;4;
Liter;Liter;der;liter;liters;a2.1;4;
Packung;Packungen;die;pack;packs;a2.1;4;
Pfund;Pfunde;das;pound;pounds;a2.1;4;
Portion;Portionen;die;serving;servings;a2.1;4;
Tüte;Tüten;die;bag;bags;a2.1;4;
Zettel;Zettel;der;note;notes;a2.1;4;
Gewohnheit;Gewohnheiten;die;habit;habits;a2.1;4;
Fehler;Fehler;der;error;errors;a2.1;4;
Bühne;Bühnen;die;stage;stages;a2.1;6;
Diskussion;Diskussionen;die;discussion;discussions;a2.1;6;
Eintritt;Eintritte;der;entrance;entrances;a2.1;6;
Ermaßigung;Ermaßigungen;die;discount;discounts;a2.1;6;
Festival;Festivals;das;festival;festivals;a2.1;6;
Karte;Karten;die;map;map;a2.1;6;
Kostüm;Kostüme;das;suit;suits;a2.1;6;
Kunst;Künste;die;art;art;a2.1;6;
Künstler;Künstler;der;artist;artists;a2.1;6;
Veranstaltung;Veranstaltungen;die;event;events;a2.1;6;
Vortrag;Vorträge;der;lecture;lectures;a2.1;6;
Vorschlag;Vorschläge;der;suggestion;suggestions;a2.1;6;
Feuer;Feuer;das;fire;fires;a2.1;6;
Mal;Male;das;time;time;a2.1;6;
Diät;Diäten;die;diet;diets;a2.1;7;
Gesundheit;;die;health;;a2.1;7;
Gewicht;Gewichte;das;mass;masses;a2.1;7;
Training;Trainings;das;training;trainings;a2.1;7;
Golf;;das;golf;;a2.1;7;
Nudel;Nudeln;die;pasta;pasta;a2.1;7;
Post;;die;post;;a2.1;7;
Stelle;Stellen;die;position;positions;a2.1;7;
Verein;Vereine;der;club;clubs;a2.1;7;
Krankenwagen;Krankenwagen;der;ambulance;ambulances;a2.1;8;
Notarzt;Notärzte;der;ER doctor;ER doctors;a2.1;8;
Notaufnahme;Notaufnahmen;die;ER;ER;a2.1;8;
Notfall;Notfälle;der;emergency;emergencies;a2.1;8;
Verletzung;Verletzungen;die;injury;injuries;a2.1;8;
Blut;;das;blood;;a2.1;8;
Grippe;;die;cold;;a2.1;8;
